Task_id,Task_name,Description,Assigned_to,Progress,Priority,Completion_time,Deadline,User_sentiment,Processed_description,Desc_word_count,Processed_token_count
T1000,Task 001 of Renovation of a School Project 001,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2024-08-08. Current user sentiment is 'frustrated', which may impact performance.",Bob,0.24,Medium,12,2024-08-08,Frustrated,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,40,22
T1001,Task 002 of Renovation of a School Project 001,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-08-12. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.56,High,4,2024-08-12,Neutral,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,40,22
T1002,Task 003 of Renovation of a School Project 001,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2024-08-10. Current user sentiment is 'focused', which may impact performance.",Charlie,1.0,High,5,2024-08-10,Focused,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,40,22
T1003,Task 001 of Innovation of a Classroom Project 002,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2025-07-12. Current user sentiment is 'cautious', which may impact performance.",Charlie,0.33,High,24,2025-07-12,Cautious,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,40,22
T1004,Task 002 of Innovation of a Classroom Project 002,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2025-06-26. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.32,Medium,26,2025-06-26,Hopeful,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,40,22
T1005,Task 003 of Innovation of a Classroom Project 002,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2025-03-25. Current user sentiment is 'overwhelmed', which may impact performance.",Alice,0.29,Low,28,2025-03-25,Overwhelmed,task involve critical work general project task low priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,40,22
T1006,Task 001 of Construction of a Hospital Wing Project 003,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-08-22. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Low,7,2024-08-22,Content,task involve critical work general project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,40,22
T1007,Task 002 of Construction of a Hospital Wing Project 003,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 23 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,23,2024-09-25,Content,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,40,22
T1008,Task 003 of Construction of a Hospital Wing Project 003,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-08-22. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Medium,13,2024-08-22,Content,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,40,22
T1009,Task 001 of Road Expansion Project 004,"Task 001 involves critical work for the Road Expansion Project 004. This task has a medium priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2024-05-06. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,28,2024-05-06,Content,task involve critical work road expansion project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1010,Task 002 of Road Expansion Project 004,"Task 002 involves critical work for the Road Expansion Project 004. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-05-05. Current user sentiment is 'focused', which may impact performance.",Charlie,0.99,High,26,2024-05-05,Focused,task involve critical work road expansion project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,43,23
T1011,Task 003 of Road Expansion Project 004,"Task 003 involves critical work for the Road Expansion Project 004. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-05-10. Current user sentiment is 'satisfied', which may impact performance.",Charlie,0.74,Medium,18,2024-05-10,Satisfied,task involve critical work road expansion project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,43,23
T1012,Task 001 of Bridge Maintenance Project 005,"Task 001 involves critical work for the Bridge Maintenance Project 005. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2025-07-31. Current user sentiment is 'content', which may impact performance.",Charlie,0.78,Medium,18,2025-07-31,Content,task involve critical work bridge maintenance project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1013,Task 002 of Bridge Maintenance Project 005,"Task 002 involves critical work for the Bridge Maintenance Project 005. This task has a medium priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-08-02. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,7,2024-08-02,Content,task involve critical work bridge maintenance project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1014,Task 003 of Bridge Maintenance Project 005,"Task 003 involves critical work for the Bridge Maintenance Project 005. This task has a high priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2025-06-30. Current user sentiment is 'anxious', which may impact performance.",Grace,0.04,High,0,2025-06-30,Anxious,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,43,23
T1015,Task 001 of Office Building Renovation Project 006,"Task 001 involves critical work for the Office Building Renovation Project 006. This task has a low priority and is expected to be completed in approximately 9 hours. The deadline for this task is 2024-09-11. Current user sentiment is 'content', which may impact performance.",Alice,1.0,Low,9,2024-09-11,Content,task involve critical work office building renovation project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,44,24
T1016,Task 002 of Office Building Renovation Project 006,"Task 002 involves critical work for the Office Building Renovation Project 006. This task has a medium priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-09-11. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,40,2024-09-11,Content,task involve critical work office building renovation project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,44,24
