Task_ID,Task_Name,Description,Assigned_To,Progress,Priority,Completion_Time,Deadline,User_Sentiment
T1000,Task 001 of Renovation of a School Project 001,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2024-08-08. Current user sentiment is 'frustrated', which may impact performance.",Bob,0.24,Medium,12,2024-08-08,Frustrated
T1001,Task 002 of Renovation of a School Project 001,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-08-12. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.56,High,4,2024-08-12,Neutral
T1002,Task 003 of Renovation of a School Project 001,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2024-08-10. Current user sentiment is 'focused', which may impact performance.",Charlie,1.0,High,5,2024-08-10,Focused
T1003,Task 001 of Innovation of a Classroom Project 002,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2025-07-12. Current user sentiment is 'cautious', which may impact performance.",Charlie,0.33,High,24,2025-07-12,Cautious
T1004,Task 002 of Innovation of a Classroom Project 002,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2025-06-26. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.32,Medium,26,2025-06-26,Hopeful
T1005,Task 003 of Innovation of a Classroom Project 002,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2025-03-25. Current user sentiment is 'overwhelmed', which may impact performance.",Alice,0.29,Low,28,2025-03-25,Overwhelmed
T1006,Task 001 of Construction of a Hospital Wing Project 003,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-08-22. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Low,7,2024-08-22,Content
T1007,Task 002 of Construction of a Hospital Wing Project 003,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 23 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,23,2024-09-25,Content
T1008,Task 003 of Construction of a Hospital Wing Project 003,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-08-22. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Medium,13,2024-08-22,Content
T1009,Task 001 of Road Expansion Project 004,"Task 001 involves critical work for the Road Expansion Project 004. This task has a medium priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2024-05-06. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,28,2024-05-06,Content
